INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (44, 22, 2, 262.62, 525.24, '2025-01-01');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (9, 27, 4, 573.15, 2292.60, '2025-02-17');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (20, 10, 5, 1391.08, 6955.40, '2025-03-05');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (45, 19, 5, 1287.37, 6436.85, '2025-03-28');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (44, 7, 5, 259.28, 1296.40, '2025-01-12');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (19, 24, 2, 1840.11, 3680.22, '2025-03-12');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (27, 14, 1, 318.90, 318.90, '2025-02-26');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (39, 17, 5, 1752.06, 8760.30, '2025-02-03');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (2, 2, 2, 1003.83, 2007.66, '2025-01-14');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (37, 4, 2, 1795.06, 3590.12, '2025-02-28');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (3, 13, 4, 989.28, 3957.12, '2025-01-02');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (8, 27, 3, 823.35, 2470.05, '2025-01-04');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (31, 25, 1, 1833.09, 1833.09, '2025-03-14');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (11, 12, 1, 1356.13, 1356.13, '2025-02-08');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (34, 16, 5, 1467.77, 7338.85, '2025-03-09');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (5, 1, 3, 1588.33, 4764.99, '2025-02-05');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (30, 29, 3, 998.18, 2994.54, '2025-02-27');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (49, 21, 2, 1361.09, 2722.18, '2025-01-20');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (43, 11, 4, 1143.80, 4575.20, '2025-02-01');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (1, 6, 3, 953.34, 2860.02, '2025-03-22');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (22, 18, 5, 622.56, 3112.80, '2025-01-28');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (25, 8, 1, 837.67, 837.67, '2025-01-08');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (36, 3, 2, 1301.97, 2603.94, '2025-01-21');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (15, 9, 2, 1225.26, 2450.52, '2025-01-19');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (46, 26, 3, 1315.37, 3946.11, '2025-03-11');
INSERT INTO Orders (ProductId, CustomerId, OrderCount, UnitPrice, TotalPrice, OrderDate) VALUES (21, 15, 4, 1210.80, 4843.20, '2025-03-24');
